increase,up,down,change,good,bad,volatile,decrease,trump,BTCValues
0,26,1,2,5,1,0,0,17,7344.97
0,43,3,4,3,1,0,0,29,7105.67
1,39,2,4,6,2,0,0,40,7460.58
4,250,14,14,24,11,0,0,171,7375.67
1,131,13,6,8,12,0,0,104,7487.19
0,24,7,2,6,7,0,0,31,7518.24
0,30,3,1,7,3,0,0,32,7636.19
0,17,1,1,0,0,0,0,14,7711.36
0,12,3,0,1,0,0,0,21,7490.59
0,4,1,1,1,0,0,0,30,7616.89
0,16,0,0,1,0,0,0,10,7655.98
0,11,2,1,2,0,0,0,21,7688.0
1,22,2,1,0,2,0,0,37,7644.04
2,75,14,11,10,5,0,0,93,7645.04
0,79,18,11,10,5,0,0,65,7307.04
1,68,15,3,5,7,0,0,71,7308.04
1,15,5,1,1,2,0,0,19,0
